CNAME,LENGTH,WEIGHT
Cutthroat Trout,160,0
Cutthroat Trout,170,0
Cutthroat Trout,183,0
Cutthroat Trout,137,0
Cutthroat Trout,151,0
Cutthroat Trout,171,0
Cutthroat Trout,134,0
Cutthroat Trout,85,0
Cutthroat Trout,164,0
Cutthroat Trout,75,0
Cutthroat Trout,77,0
Cutthroat Trout,75,0
Cutthroat Trout,74,0
Cutthroat Trout,214,0
Cutthroat Trout,160,0
Cutthroat Trout,121,0
Cutthroat Trout,141,0
Cutthroat Trout,249,0
Cutthroat Trout,86,0
Cutthroat Trout,68,0
Cutthroat Trout,84,0
Cutthroat Trout,76,0
Cutthroat Trout,37,0
Golden Trout,176,80
Golden Trout,211,140
Golden Trout,290,280
Golden Trout,335,490
Golden Trout,334,520
Golden Trout,210,100
Golden Trout,189,80
Golden Trout,170,50
Golden Trout,215,100
Golden Trout,216,120
Golden Trout,268,200
Golden Trout,210,120
Golden Trout,255,200
Golden Trout,295,300
Golden Trout,143,20
Golden Trout,197,60
Golden Trout,195,100
Golden Trout,152,40
Golden Trout,219,140
Golden Trout,189,90
Golden Trout,185,90
Brook Trout,240,190
Brook Trout,254,230
Brook Trout,221,180
Brook Trout,266,300
Brook Trout,222,190
Brook Trout,274,310
Brook Trout,248,205
Brook Trout,251,250
Brook Trout,243,200
Brook Trout,221,160
Brook Trout,254,250
Brook Trout,222,190
Rainbow Trout,345,600
Rainbow Trout,205,140
Rainbow Trout,203,120
Rainbow Trout,179,80
Rainbow Trout,170,70
Rainbow Trout,138,60
Rainbow Trout,188,100
Brook Trout,290,320
Brook Trout,240,220
Brook Trout,255,260
Brook Trout,185,120
Brook Trout,200,160
Brook Trout,220,120
Brook Trout,200,160
Brook Trout,236,200
Brook Trout,170,100
Brook Trout,175,80
Brook Trout,130,60
Brook Trout,150,80
Brook Trout,182,100
Brook Trout,165,95
Brook Trout,160,90
Brook Trout,145,60
Brook Trout,198,140
Brook Trout,192,140
Brook Trout,115,40
Brook Trout,165,55
Brook Trout,164,50
Brook Trout,245,180
Brook Trout,170,70
Brook Trout,199,100
Brook Trout,186,90
Brook Trout,228,145
Brook Trout,235,160
Brook Trout,229,150
Brook Trout,182,80
Brook Trout,149,40
Brook Trout,214,130
Brook Trout,158,55
Brook Trout,195,90
Brook Trout,211,121
Brook Trout,165,60
Brook Trout,208,120
Brook Trout,188,100
Brook Trout,180,80
Brook Trout,166,65
Brook Trout,167,60
Brook Trout,179,90
Brook Trout,212,120
Brook Trout,172,75
Brook Trout,205,130
Brook Trout,160,60
Brook Trout,175,90
Brook Trout,172,90
Brook Trout,149,45
Brook Trout,155,40
Brook Trout,160,60
Brook Trout,173,70
Brook Trout,148,40
Brook Trout,172,50
Brook Trout,179,70
Brook Trout,195,95
Brook Trout,190,80
Brook Trout,274,280
Brook Trout,185,75
Brook Trout,352,505
Brook Trout,247,200
Brook Trout,262,210
Brook Trout,212,140
Brook Trout,262,245
Brook Trout,182,80
Brook Trout,161,55
Brook Trout,235,200
Brook Trout,182,55
Brook Trout,190,95
Brook Trout,182,80
Brook Trout,156,45
Brook Trout,175,70
Brook Trout,240,205
Brook Trout,270,280
Brook Trout,181,80
Brook Trout,220,130
Brook Trout,150,40
Brook Trout,275,295
Brook Trout,215,140
Brook Trout,252,230
Brook Trout,277,290
Brook Trout,156,40
Brook Trout,145,35
Rainbow Trout,245,210
Brook Trout,192,110
Brook Trout,236,200
Brook Trout,262,240
Brook Trout,298,360
Brook Trout,145,40
Brook Trout,247,210
Brook Trout,216,180
Brook Trout,208,130
Brook Trout,225,150
Brook Trout,170,80
Brook Trout,211,160
Brook Trout,216,180
Brook Trout,408,1030
Brook Trout,390,930
Brook Trout,394,920
Brook Trout,376,850
Brook Trout,412,0
Brook Trout,365,750
Brook Trout,415,0
Brook Trout,287,323
Brook Trout,298,360
Brook Trout,308,378
Brook Trout,284,309
Brook Trout,295,328
Brook Trout,274,272
Brook Trout,282,308
Brook Trout,285,278
Brook Trout,281,263
Brook Trout,245,205
Brook Trout,305,409
Brook Trout,263,245
Brook Trout,300,334
Brook Trout,284,285
Rainbow Trout,302,408
Rainbow Trout,250,245
Rainbow Trout,273,288
Brook Trout,270,255
Brook Trout,233,147
Brook Trout,217,137
Brook Trout,168,58
Brook Trout,265,240
Brook Trout,224,141
Brook Trout,260,197
Brook Trout,253,211
Brook Trout,219,131
Brook Trout,242,177
Brook Trout,248,184
Brook Trout,228,154
Brook Trout,170,66
Brook Trout,168,64
Brook Trout,167,64
Brook Trout,153,44
Brook Trout,165,65
Brook Trout,174,73
Brook Trout,174,72
Brook Trout,153,52
Brook Trout,230,170
Brook Trout,263,265
Brook Trout,276,313
Brook Trout,270,274
Brook Trout,269,305
Brook Trout,215,135
Brook Trout,231,160
Brook Trout,293,342
Brook Trout,286,404
Brook Trout,300,380
Brook Trout,279,327
Brook Trout,284,331
Brook Trout,248,217
Brook Trout,259,232
Brook Trout,238,173
Brook Trout,320,463
Brook Trout,230,155
Brook Trout,248,221
Brook Trout,281,346
Brook Trout,262,248
Brook Trout,264,264
Brook Trout,232,187
