CNAME,LENGTH,WEIGHT
Rainbow Trout,92,0
Rainbow Trout,62,0
Rainbow Trout,62,0
Rainbow Trout,62,0
Rainbow Trout,60,0
Rainbow Trout,190,70
Rainbow Trout,69,0
Rainbow Trout,71,0
Rainbow Trout,74,0
Rainbow Trout,129,0
Rainbow Trout,77,0
Rainbow Trout,131,0
Rainbow Trout,125,16
Rainbow Trout,61,3
Rainbow Trout,62,3
Rainbow Trout,125,18
Rainbow Trout,62,2
Rainbow Trout,64,3
Rainbow Trout,59,2
Rainbow Trout,63,2
Rainbow Trout,49,0
Rainbow Trout,65,0
Rainbow Trout,60,0
Rainbow Trout,123,18
Rainbow Trout,136,22
Rainbow Trout,112,12
Rainbow Trout,115,13
Rainbow Trout,96,0
Rainbow Trout,63,0
Rainbow Trout,66,0
Rainbow Trout,70,0
Rainbow Trout,71,0
Sacramento Sucker,45,1
Sacramento Sucker,35,1
Sacramento Sucker,48,1
Sacramento Sucker,39,1
Sacramento Sucker,42,1
Sacramento Sucker,40,1
Sacramento Sucker,63,0
Sacramento Sucker,79,6
Sacramento Sucker,39,0
Sacramento Sucker,80,5
Sacramento Sucker,45,0
Sacramento Sucker,76,5
Sacramento Sucker,71,4
Sacramento Sucker,43,1
Sacramento Sucker,83,7
Sacramento Sucker,37,1
Sacramento Sucker,52,1
Sacramento Sucker,51,1
Sacramento Sucker,49,1
Sacramento Sucker,43,1
Sacramento Sucker,50,1
Sacramento Sucker,77,4
Sacramento Sucker,79,5
Sacramento Sucker,79,5
Sacramento Sucker,45,1
Sacramento Sucker,43,1
Sacramento Sucker,44,1
Brown Trout,331,355
Brown Trout,226,112
Brown Trout,266,179
Brown Trout,355,482
Brown Trout,150,28
Brown Trout,216,87
Brown Trout,284,213
Brown Trout,237,113
Brown Trout,215,109
Brown Trout,176,46
Brown Trout,218,97
Brown Trout,271,210
Brown Trout,170,40
Brown Trout,77,0
Brown Trout,82,0
Brown Trout,67,0
Brown Trout,71,0
Brown Trout,78,0
Brown Trout,70,0
Brown Trout,65,0
Brown Trout,91,0
Brown Trout,81,0
Brown Trout,89,0
Brown Trout,69,0
Brown Trout,80,0
Brown Trout,77,0
Brown Trout,162,37
Brown Trout,177,56
Brown Trout,256,182
Brown Trout,224,99
Brown Trout,213,97
Brown Trout,168,43
Brown Trout,231,142
Brown Trout,220,91
Brown Trout,427,980
Brown Trout,170,39
Brown Trout,200,68
Brown Trout,223,108
Brown Trout,178,52
Brown Trout,177,54
Brown Trout,162,43
Brown Trout,150,31
Brown Trout,163,44
Brown Trout,171,41
Brown Trout,85,0
Brown Trout,83,0
Brown Trout,78,0
Brown Trout,70,0
Brown Trout,81,0
Brown Trout,70,0
Brown Trout,85,0
Brown Trout,75,0
Brown Trout,89,0
Brown Trout,75,0
Brown Trout,80,0
Brown Trout,75,0
Brown Trout,74,0
Brown Trout,69,0
Brown Trout,64,0
Brown Trout,74,0
Brown Trout,87,0
Brown Trout,87,0
Brown Trout,74,0
Brown Trout,82,0
Brown Trout,94,0
Brown Trout,66,0
Brown Trout,84,0
Brown Trout,88,0
Brown Trout,71,0
Brown Trout,66,0
Brown Trout,79,0
Brown Trout,74,0
Brown Trout,64,0
Brown Trout,328,282
Brown Trout,201,71
Brown Trout,234,108
Brown Trout,169,43
Brown Trout,267,207
Brown Trout,164,38
Brown Trout,171,44
Brown Trout,155,32
Brown Trout,96,8
Brown Trout,98,9
Brown Trout,86,6
Brown Trout,78,4
Brown Trout,84,5
Brown Trout,92,7
Brown Trout,93,7
Brown Trout,77,4
Brown Trout,36,6
Brown Trout,77,5
Brown Trout,79,0
Brown Trout,75,0
Brown Trout,84,0
Brown Trout,77,0
Brown Trout,85,0
Brown Trout,74,0
Brown Trout,74,0
Brown Trout,79,0
Brown Trout,82,0
Brown Trout,156,0
Brown Trout,240,0
Brown Trout,154,0
Brown Trout,173,0
Brown Trout,247,0
Brown Trout,167,0
Brown Trout,80,0
Brown Trout,81,0
Brown Trout,85,0
Brown Trout,391,751
Brown Trout,82,0
Brown Trout,80,0
Brown Trout,78,0
Brown Trout,79,0
Brown Trout,70,0
Brown Trout,71,0
Brown Trout,76,0
Brown Trout,73,0
Rainbow Trout,169,49
Sacramento Sucker,96,9
Sacramento Sucker,44,1
Sacramento Sucker,54,2
Sacramento Sucker,40,1
Sacramento Sucker,54,0
Sacramento Sucker,95,0
Sacramento Sucker,60,0
Sacramento Sucker,61,0
Sacramento Sucker,51,0
Sacramento Sucker,46,0
Sacramento Sucker,42,0
Sacramento Sucker,57,0
Sacramento Sucker,50,0
Sacramento Sucker,112,0
Sacramento Sucker,51,0
Sacramento Sucker,51,0
Sacramento Sucker,46,0
Sacramento Sucker,51,0
Sacramento Sucker,47,0
Sacramento Sucker,54,0
Sacramento Sucker,49,0
Sacramento Sucker,43,0
Sacramento Sucker,77,0
Sacramento Sucker,58,0
Sacramento Sucker,61,0
Sacramento Sucker,46,0
Sacramento Sucker,110,0
Sacramento Sucker,47,0
Sacramento Sucker,49,0
Sacramento Sucker,46,0
Sacramento Sucker,57,0
Sacramento Sucker,86,7
Sacramento Sucker,100,12
Sacramento Sucker,102,11
Sacramento Sucker,57,2
Sacramento Sucker,56,2
Sacramento Sucker,52,2
Sacramento Sucker,50,1
Sacramento Sucker,47,1
Sacramento Sucker,51,1
Sacramento Sucker,52,2
Sacramento Sucker,47,1
Sacramento Sucker,41,1
Sacramento Sucker,49,0
Sacramento Sucker,46,0
Sacramento Sucker,94,0
Sacramento Sucker,51,0
Sacramento Sucker,47,0
Sacramento Sucker,45,0
Sacramento Sucker,41,0
Sacramento Sucker,52,0
Sacramento Sucker,51,0
Brown Trout,95,0
Brown Trout,83,0
Brown Trout,87,0
Brown Trout,97,0
Brown Trout,95,0
Brown Trout,92,0
Brown Trout,69,0
Brown Trout,106,11
Brown Trout,90,7
Brown Trout,97,9
Brown Trout,84,6
Brown Trout,80,5
Brown Trout,252,148
Brown Trout,183,0
Brown Trout,200,0
Brown Trout,151,0
Brown Trout,167,0
Brown Trout,152,0
Brown Trout,159,0
Brown Trout,177,0
Brown Trout,154,0
Brown Trout,163,0
Brown Trout,162,0
Brown Trout,151,0
Brown Trout,86,0
Brown Trout,85,0
Brown Trout,86,0
Brown Trout,79,0
Brown Trout,237,127
Brown Trout,205,81
Brown Trout,193,70
Brown Trout,161,39
Brown Trout,147,31
Brown Trout,175,51
Brown Trout,162,37
Brown Trout,178,54
Brown Trout,199,0
Brown Trout,196,0
Brown Trout,200,0
Brown Trout,147,0
Brown Trout,85,0
Brown Trout,97,0
Brown Trout,91,0
Brown Trout,91,0
Brown Trout,86,0
Brown Trout,89,0
Brown Trout,90,0
Brown Trout,89,0
Brown Trout,92,0
Brown Trout,198,0
Brown Trout,196,0
Brown Trout,192,0
Brown Trout,191,0
Brown Trout,187,0
Brown Trout,96,0
Brown Trout,91,0
Brown Trout,96,0
Brown Trout,89,0
Brown Trout,89,0
Brown Trout,86,0
Brown Trout,94,0
Brown Trout,100,0
Brown Trout,88,0
Brown Trout,79,0
Brown Trout,71,0
Brown Trout,73,0
Brown Trout,93,0
Brown Trout,102,0
Brown Trout,82,0
Brown Trout,93,0
Brown Trout,78,0
Brown Trout,82,0
Brown Trout,168,0
Brown Trout,201,0
Brown Trout,188,0
Brown Trout,197,0
Brown Trout,138,0
Brown Trout,94,0
Brown Trout,87,0
Brown Trout,107,0
Brown Trout,99,0
Brown Trout,93,0
Brown Trout,89,0
Brown Trout,86,0
Brown Trout,89,0
Brown Trout,96,0
Brown Trout,98,0
Brown Trout,166,0
Brown Trout,87,0
Brown Trout,88,0
Brown Trout,95,0
Brown Trout,93,0
Brown Trout,96,0
Brown Trout,100,0
Brown Trout,82,0
Brown Trout,87,0
Brown Trout,86,0
Brown Trout,80,0
Brown Trout,84,0
Brown Trout,137,0
Brown Trout,144,0
Brown Trout,89,0
Brown Trout,204,0
Brown Trout,151,0
Brown Trout,104,0
Brown Trout,86,0
Brown Trout,99,0
Brown Trout,147,0
Brown Trout,94,0
Brown Trout,91,0
Brown Trout,84,0
Brown Trout,85,0
Brown Trout,91,0
Brown Trout,98,0
Brown Trout,89,0
Brown Trout,99,0
Brown Trout,217,0
Brown Trout,204,0
Brown Trout,144,0
Brown Trout,151,0
Brown Trout,85,0
Brown Trout,105,0
Brown Trout,100,0
Brown Trout,91,0
Brown Trout,93,0
Brown Trout,82,0
Brown Trout,89,0
Brown Trout,86,0
Brown Trout,85,0
Brown Trout,164,0
Brown Trout,157,0
Brown Trout,151,0
Brown Trout,159,0
Brown Trout,150,0
Brown Trout,93,0
Brown Trout,93,0
Brown Trout,89,0
Brown Trout,95,0
Brown Trout,198,0
Brown Trout,96,0
Brown Trout,84,0
Brown Trout,90,0
Brown Trout,100,0
Brown Trout,90,0
Brown Trout,95,0
Brown Trout,155,0
Brown Trout,89,0
Brown Trout,96,0
Brown Trout,79,0
Brown Trout,85,0
Brown Trout,162,0
Brown Trout,89,0
Brown Trout,94,0
Brown Trout,95,0
Brown Trout,87,0
Brown Trout,155,0
Brown Trout,188,0
Brown Trout,88,0
Brown Trout,90,0
Brown Trout,100,0
Rainbow Trout,142,0
Rainbow Trout,69,0
Rainbow Trout,67,0
Rainbow Trout,70,0
Rainbow Trout,133,0
Rainbow Trout,128,0
Rainbow Trout,65,0
Rainbow Trout,116,0
Rainbow Trout,73,0
Rainbow Trout,67,0
Rainbow Trout,61,0
Rainbow Trout,59,0
Rainbow Trout,58,0
Rainbow Trout,61,0
Rainbow Trout,58,0
Rainbow Trout,63,0
Rainbow Trout,62,0
Rainbow Trout,60,0
Rainbow Trout,117,14
Rainbow Trout,131,21
Rainbow Trout,70,0
Rainbow Trout,54,0
Rainbow Trout,136,23
Rainbow Trout,125,17
Rainbow Trout,122,17
Rainbow Trout,121,16
Rainbow Trout,112,13
Rainbow Trout,106,11
Rainbow Trout,110,12
Rainbow Trout,72,0
Rainbow Trout,77,0
Rainbow Trout,61,0
Rainbow Trout,64,0
Rainbow Trout,75,0
Rainbow Trout,60,0
Rainbow Trout,73,0
Rainbow Trout,47,0
Rainbow Trout,74,0
Rainbow Trout,68,0
Rainbow Trout,72,0
Rainbow Trout,71,0
Rainbow Trout,67,0
Rainbow Trout,59,0
Rainbow Trout,77,0
Rainbow Trout,112,0
Rainbow Trout,55,0
Rainbow Trout,66,0
Rainbow Trout,68,0
Rainbow Trout,64,0
Rainbow Trout,106,0
Rainbow Trout,70,0
Rainbow Trout,72,0
Rainbow Trout,106,0
Rainbow Trout,76,0
Rainbow Trout,60,0
Rainbow Trout,73,0
Rainbow Trout,56,0
Rainbow Trout,62,0
Rainbow Trout,64,0
Rainbow Trout,123,0
Rainbow Trout,181,0
Rainbow Trout,106,0
Rainbow Trout,126,0
Rainbow Trout,63,0
Rainbow Trout,114,0
Rainbow Trout,65,0
Rainbow Trout,77,0
Rainbow Trout,115,0
Rainbow Trout,69,0
Rainbow Trout,74,0
Rainbow Trout,71,0
Rainbow Trout,61,0
Rainbow Trout,59,0
Rainbow Trout,67,0
Rainbow Trout,65,0
Rainbow Trout,73,0
Rainbow Trout,62,0
Rainbow Trout,65,0
Rainbow Trout,82,0
Rainbow Trout,62,0
Rainbow Trout,72,0
Rainbow Trout,64,0
Rainbow Trout,63,0
Rainbow Trout,58,0
Rainbow Trout,58,0
Rainbow Trout,61,0
Rainbow Trout,76,0
Rainbow Trout,61,0
Rainbow Trout,61,0
Rainbow Trout,57,0
Rainbow Trout,68,0
Rainbow Trout,69,0
Rainbow Trout,74,0
Rainbow Trout,135,0
Rainbow Trout,70,0
Rainbow Trout,117,0
Rainbow Trout,68,0
Rainbow Trout,64,0
Rainbow Trout,64,0
Rainbow Trout,59,0
Rainbow Trout,57,0
Rainbow Trout,55,0
Rainbow Trout,60,0
Rainbow Trout,64,0
Rainbow Trout,70,0
Rainbow Trout,60,0
Rainbow Trout,65,0
Rainbow Trout,61,0
Rainbow Trout,57,0
Rainbow Trout,56,0
Rainbow Trout,58,0
Rainbow Trout,56,0
Rainbow Trout,105,0
Rainbow Trout,131,0
Rainbow Trout,74,0
Rainbow Trout,68,0
Rainbow Trout,65,0
Rainbow Trout,74,0
Rainbow Trout,62,0
Rainbow Trout,64,0
Rainbow Trout,61,0
Rainbow Trout,59,0
Rainbow Trout,58,0
Rainbow Trout,60,0
Riffle Sculpin,61,0
Riffle Sculpin,76,0
Riffle Sculpin,71,0
Riffle Sculpin,63,0
Riffle Sculpin,36,0
Riffle Sculpin,47,0
Riffle Sculpin,34,0
Riffle Sculpin,61,0
Riffle Sculpin,61,0
Riffle Sculpin,34,0
Riffle Sculpin,41,0
Riffle Sculpin,41,0
Riffle Sculpin,40,0
Riffle Sculpin,37,0
Riffle Sculpin,81,0
Riffle Sculpin,76,0
Riffle Sculpin,75,0
Riffle Sculpin,90,0
Riffle Sculpin,95,0
Riffle Sculpin,78,0
Riffle Sculpin,82,0
Riffle Sculpin,68,0
Riffle Sculpin,70,0
Riffle Sculpin,75,0
Riffle Sculpin,83,0
Riffle Sculpin,65,0
Riffle Sculpin,70,0
Riffle Sculpin,71,0
Riffle Sculpin,61,0
Riffle Sculpin,68,0
Riffle Sculpin,74,0
Riffle Sculpin,76,0
Riffle Sculpin,82,0
Riffle Sculpin,41,0
Riffle Sculpin,42,0
Riffle Sculpin,67,0
Riffle Sculpin,59,0
Riffle Sculpin,41,0
Riffle Sculpin,39,0
Riffle Sculpin,77,0
Riffle Sculpin,76,0
Riffle Sculpin,85,0
Riffle Sculpin,80,0
Riffle Sculpin,83,0
Riffle Sculpin,79,0
Riffle Sculpin,82,0
Riffle Sculpin,79,0
Riffle Sculpin,90,0
Riffle Sculpin,73,0
Riffle Sculpin,102,0
Riffle Sculpin,33,0
Riffle Sculpin,80,0
Riffle Sculpin,44,0
Riffle Sculpin,92,0
Riffle Sculpin,100,0
Riffle Sculpin,76,0
Riffle Sculpin,72,0
Riffle Sculpin,40,0
Riffle Sculpin,73,0
Riffle Sculpin,71,0
Riffle Sculpin,55,0
Riffle Sculpin,52,0
Riffle Sculpin,37,0
Sacramento Sucker,432,680
Sacramento Sucker,484,933
Sacramento Sucker,446,821
Sacramento Sucker,448,791
Sacramento Sucker,442,786
Sacramento Sucker,394,595
Sacramento Sucker,462,866
Sacramento Sucker,401,636
Sacramento Sucker,389,655
Sacramento Sucker,433,827
Sacramento Sucker,263,159
Sacramento Sucker,470,913
Sacramento Sucker,409,699
Sacramento Sucker,378,710
Sacramento Sucker,421,644
Sacramento Sucker,377,471
Sacramento Sucker,321,328
Sacramento Sucker,256,150
Sacramento Sucker,261,167
Sacramento Sucker,361,463
Sacramento Sucker,436,766
Sacramento Sucker,396,629
Sacramento Sucker,426,710
Sacramento Sucker,282,216
Sacramento Sucker,243,137
Sacramento Sucker,413,670
Sacramento Sucker,293,237
Sacramento Sucker,394,623
Sacramento Sucker,380,546
Sacramento Sucker,398,670
Sacramento Sucker,231,106
Sacramento Sucker,421,692
Sacramento Sucker,285,209
Sacramento Sucker,264,168
Sacramento Sucker,229,106
Sacramento Sucker,374,535
Sacramento Sucker,274,190
Sacramento Sucker,279,220
Sacramento Sucker,210,91
Sacramento Sucker,275,183
Sacramento Sucker,220,95
Sacramento Sucker,253,144
Sacramento Sucker,216,90
Sacramento Sucker,147,26
Sacramento Sucker,149,25
Sacramento Sucker,130,22
Sacramento Sucker,88,7
Sacramento Sucker,56,2
Sacramento Sucker,203,67
Sacramento Sucker,87,4
Sacramento Sucker,380,632
Sacramento Sucker,449,801
Sacramento Sucker,477,1056
Sacramento Sucker,458,895
Sacramento Sucker,399,585
Sacramento Sucker,423,706
Sacramento Sucker,398,594
Sacramento Sucker,293,240
Sacramento Sucker,293,235
Sacramento Sucker,286,232
Sacramento Sucker,422,659
Sacramento Sucker,256,161
Sacramento Sucker,197,76
Sacramento Sucker,244,147
Sacramento Sucker,205,88
Sacramento Sucker,190,72
Sacramento Sucker,268,187
Sacramento Sucker,196,62
Sacramento Sucker,55,1
Sacramento Sucker,165,41
Sacramento Sucker,149,27
Sacramento Sucker,157,39
Sacramento Sucker,77,2
Sacramento Sucker,64,2
Sacramento Sucker,45,1
Sacramento Pikeminnow,43,1
Sacramento Pikeminnow,42,1
Sacramento Pikeminnow,54,1
Sacramento Pikeminnow,38,1
Sacramento Pikeminnow,38,1
Sacramento Pikeminnow,43,1
Sacramento Pikeminnow,50,1
Sacramento Pikeminnow,50,1
Sacramento Pikeminnow,40,1
Sacramento Pikeminnow,49,1
Sacramento Pikeminnow,41,1
Sacramento Pikeminnow,42,1
Sacramento Pikeminnow,42,1
Sacramento Pikeminnow,42,1
Sacramento Pikeminnow,40,1
Sacramento Pikeminnow,47,1
Sacramento Pikeminnow,45,1
Sacramento Pikeminnow,49,1
Sacramento Pikeminnow,44,1
Sacramento Pikeminnow,51,1
Sacramento Pikeminnow,46,1
Sacramento Pikeminnow,52,1
Sacramento Pikeminnow,43,1
Riffle Sculpin,69,3
Riffle Sculpin,72,3
Riffle Sculpin,59,1
Riffle Sculpin,89,9
Riffle Sculpin,39,1
Riffle Sculpin,72,2
Riffle Sculpin,87,6
Riffle Sculpin,79,3
Riffle Sculpin,88,6
Riffle Sculpin,61,2
Riffle Sculpin,73,4
Riffle Sculpin,88,6
Riffle Sculpin,85,7
Riffle Sculpin,92,7
Riffle Sculpin,69,1
Riffle Sculpin,40,1
Riffle Sculpin,44,1
Riffle Sculpin,40,1
Riffle Sculpin,43,1
Riffle Sculpin,87,7
Riffle Sculpin,64,3
Riffle Sculpin,41,1
Riffle Sculpin,36,1
Riffle Sculpin,37,1
Riffle Sculpin,36,1
Riffle Sculpin,90,6
Riffle Sculpin,75,4
Riffle Sculpin,75,4
Riffle Sculpin,80,5
Riffle Sculpin,89,10
Riffle Sculpin,66,3
Riffle Sculpin,73,4
Riffle Sculpin,94,11
Riffle Sculpin,85,8
Riffle Sculpin,71,5
Riffle Sculpin,66,6
Riffle Sculpin,69,4
Riffle Sculpin,43,1
Riffle Sculpin,66,2
Riffle Sculpin,74,4
Riffle Sculpin,72,4
Riffle Sculpin,55,1
Riffle Sculpin,70,4
Riffle Sculpin,57,3
Riffle Sculpin,41,1
Riffle Sculpin,61,3
Riffle Sculpin,60,2
Riffle Sculpin,56,2
Riffle Sculpin,69,3
Riffle Sculpin,74,4
Riffle Sculpin,56,2
Riffle Sculpin,68,3
Riffle Sculpin,74,3
Riffle Sculpin,35,1
Riffle Sculpin,61,3
Riffle Sculpin,40,1
Riffle Sculpin,62,2
Riffle Sculpin,40,1
Riffle Sculpin,66,3
California Roach,60,4
California Roach,35,1
California Roach,60,5
California Roach,62,4
California Roach,46,2
California Roach,47,2
California Roach,37,1
California Roach,35,1
California Roach,49,2
California Roach,38,1
California Roach,33,1
Rainbow Trout,215,90
Rainbow Trout,158,40
Rainbow Trout,202,100
California Roach,54,3
California Roach,73,5
California Roach,45,1
California Roach,48,2
California Roach,43,2
California Roach,51,2
California Roach,62,2
Rainbow Trout,220,125
Rainbow Trout,176,65
Rainbow Trout,132,30
California Roach,85,8
California Roach,36,1
California Roach,85,8
California Roach,60,4
California Roach,36,1
California Roach,31,1
California Roach,30,1
California Roach,40,1
California Roach,38,1
California Roach,49,2
California Roach,40,1
California Roach,40,1
California Roach,55,3
California Roach,63,3
California Roach,50,2
California Roach,44,1
California Roach,57,3
California Roach,84,11
California Roach,44,1
California Roach,86,14
California Roach,90,13
California Roach,70,7
California Roach,54,5
California Roach,43,3
California Roach,53,2
California Roach,70,4
California Roach,57,3
California Roach,74,7
California Roach,66,5
California Roach,46,1
California Roach,60,3
California Roach,40,1
California Roach,73,4
California Roach,73,4
California Roach,80,6
California Roach,44,1
California Roach,43,1
Rainbow Trout,133,34
Rainbow Trout,207,110
Rainbow Trout,137,35
Rainbow Trout,145,30
Rainbow Trout,150,45
Rainbow Trout,115,19
Rainbow Trout,112,15
Rainbow Trout,111,17
Rainbow Trout,108,15
Rainbow Trout,129,26
Rainbow Trout,125,23
Rainbow Trout,106,14
Rainbow Trout,106,17
Rainbow Trout,105,12
Rainbow Trout,95,10
Rainbow Trout,146,36
Rainbow Trout,110,17
Rainbow Trout,44,3
Rainbow Trout,45,2
Rainbow Trout,47,1
Rainbow Trout,43,1
Brown Trout,406,630
Brown Trout,225,125
Brown Trout,130,27
Brown Trout,161,46
Brown Trout,118,19
Brown Trout,85,8
Brown Trout,127,23
Brown Trout,119,23
Rainbow Trout,155,50
Rainbow Trout,43,1
Rainbow Trout,43,1
Rainbow Trout,43,1
Rainbow Trout,42,1
Rainbow Trout,44,2
Rainbow Trout,43,1
Rainbow Trout,42,1
Rainbow Trout,44,1
Brown Trout,256,180
Brown Trout,178,60
Brown Trout,115,19
California Roach,63,4
California Roach,72,5
California Roach,57,3
California Roach,43,1
California Roach,47,2
California Roach,48,1
California Roach,53,2
California Roach,55,3
California Roach,52,2
California Roach,35,1
California Roach,60,4
California Roach,36,1
California Roach,35,1
California Roach,28,1
California Roach,38,1
California Roach,52,2
California Roach,37,1
California Roach,25,1
California Roach,40,1
California Roach,30,1
California Roach,41,1
California Roach,32,1
California Roach,46,2
California Roach,35,1
California Roach,48,2
California Roach,36,1
California Roach,54,2
California Roach,25,1
California Roach,34,1
California Roach,34,1
California Roach,41,2
California Roach,40,1
California Roach,32,1
California Roach,30,1
California Roach,48,2
California Roach,97,11
California Roach,32,1
California Roach,27,1
California Roach,28,1
California Roach,26,1
California Roach,69,4
California Roach,25,1
California Roach,40,1
California Roach,29,1
California Roach,30,1
California Roach,35,1
California Roach,71,5
California Roach,50,1
California Roach,35,1
California Roach,34,1
California Roach,40,1
California Roach,72,5
California Roach,34,1
California Roach,30,1
California Roach,35,1
California Roach,33,1
California Roach,31,1
California Roach,30,1
California Roach,60,3
California Roach,75,6
California Roach,35,1
California Roach,29,1
California Roach,25,1
California Roach,33,1
California Roach,62,3
California Roach,31,1
California Roach,35,1
California Roach,33,1
California Roach,32,1
California Roach,36,1
California Roach,70,5
California Roach,36,1
California Roach,48,1
California Roach,38,1
California Roach,38,1
California Roach,31,1
California Roach,30,1
California Roach,37,1
California Roach,37,1
California Roach,49,2
California Roach,31,1
California Roach,36,1
California Roach,33,1
California Roach,33,1
California Roach,53,3
California Roach,34,1
California Roach,72,5
California Roach,61,3
California Roach,32,1
California Roach,40,1
California Roach,53,2
California Roach,36,1
California Roach,34,1
California Roach,38,1
California Roach,35,1
California Roach,31,1
California Roach,52,2
California Roach,30,1
California Roach,30,1
California Roach,43,1
California Roach,32,1
California Roach,37,1
California Roach,35,1
California Roach,41,1
California Roach,36,1
California Roach,33,1
California Roach,40,1
California Roach,39,1
California Roach,65,4
California Roach,53,3
California Roach,73,6
California Roach,77,7
California Roach,43,2
California Roach,81,8
California Roach,39,1
California Roach,37,1
California Roach,36,1
California Roach,35,1
California Roach,72,5
California Roach,69,5
California Roach,38,1
California Roach,33,1
California Roach,41,1
California Roach,37,1
California Roach,36,1
California Roach,37,1
California Roach,67,6
California Roach,36,1
California Roach,41,1
California Roach,41,1
California Roach,35,1
California Roach,34,1
California Roach,28,1
California Roach,90,10
California Roach,91,10
California Roach,40,1
California Roach,38,1
California Roach,38,1
California Roach,33,1
California Roach,40,1
California Roach,38,1
California Roach,55,3
California Roach,45,2
California Roach,37,1
California Roach,29,1
California Roach,40,1
California Roach,43,1
California Roach,80,7
California Roach,33,1
California Roach,39,1
California Roach,30,1
California Roach,37,1
California Roach,34,1
California Roach,35,1
California Roach,43,1
California Roach,34,1
California Roach,59,3
California Roach,38,1
California Roach,63,3
California Roach,39,1
California Roach,33,1
California Roach,65,4
California Roach,61,4
California Roach,31,1
California Roach,66,5
California Roach,35,1
California Roach,35,1
California Roach,40,1
California Roach,80,6
California Roach,74,7
California Roach,35,1
California Roach,78,7
California Roach,65,3
California Roach,65,4
California Roach,38,1
California Roach,39,1
California Roach,35,1
California Roach,30,1
California Roach,78,7
California Roach,47,1
California Roach,33,1
California Roach,50,1
California Roach,110,20
California Roach,70,4
California Roach,38,1
California Roach,34,1
California Roach,33,1
California Roach,72,6
California Roach,35,1
California Roach,91,9
California Roach,66,4
California Roach,67,4
California Roach,40,1
California Roach,64,4
California Roach,67,4
California Roach,41,1
California Roach,98,12
California Roach,39,1
California Roach,36,1
California Roach,47,1
California Roach,32,1
California Roach,45,1
California Roach,30,1
California Roach,42,1
California Roach,40,1
California Roach,83,8
California Roach,37,1
California Roach,63,3
California Roach,56,3
California Roach,67,3
California Roach,50,2
California Roach,44,1
California Roach,40,1
California Roach,40,1
California Roach,63,4
California Roach,50,2
California Roach,45,1
California Roach,49,1
California Roach,41,1
California Roach,66,4
California Roach,51,2
California Roach,36,1
California Roach,109,20
California Roach,82,7
California Roach,43,1
California Roach,63,4
California Roach,33,1
California Roach,43,1
California Roach,35,1
California Roach,84,8
California Roach,33,1
California Roach,35,1
California Roach,91,9
California Roach,45,1
California Roach,37,1
California Roach,35,1
California Roach,56,2
California Roach,56,2
California Roach,65,3
California Roach,56,2
California Roach,43,1
California Roach,34,1
California Roach,38,5
California Roach,35,1
California Roach,34,1
California Roach,56,2
California Roach,38,1
California Roach,36,1
California Roach,58,2
California Roach,47,1
California Roach,38,1
California Roach,45,1
California Roach,39,1
California Roach,33,1
California Roach,42,1
California Roach,58,3
California Roach,63,3
California Roach,64,3
California Roach,38,1
California Roach,61,3
California Roach,37,1
California Roach,34,1
California Roach,45,1
California Roach,90,9
California Roach,67,5
California Roach,39,1
California Roach,60,3
California Roach,53,2
California Roach,44,1
California Roach,66,4
California Roach,65,4
California Roach,34,1
California Roach,39,1
California Roach,38,1
California Roach,37,1
California Roach,34,1
California Roach,66,4
California Roach,36,1
California Roach,47,1
California Roach,33,1
California Roach,80,8
California Roach,86,8
California Roach,35,1
California Roach,65,3
California Roach,36,1
California Roach,33,1
California Roach,63,3
California Roach,41,1
California Roach,67,3
California Roach,60,4
California Roach,43,1
California Roach,84,9
California Roach,63,4
California Roach,53,2
California Roach,53,2
California Roach,29,1
California Roach,65,4
California Roach,55,2
California Roach,66,5
California Roach,74,6
California Roach,63,4
California Roach,40,1
California Roach,78,7
California Roach,60,3
California Roach,62,4
California Roach,56,3
California Roach,54,2
California Roach,35,1
California Roach,37,1
California Roach,58,4
California Roach,30,1
California Roach,34,1
California Roach,72,6
California Roach,35,1
California Roach,35,1
California Roach,40,1
California Roach,42,1
California Roach,33,1
California Roach,30,1
California Roach,61,3
California Roach,63,3
California Roach,33,1
California Roach,73,5
California Roach,63,4
California Roach,52,2
California Roach,52,2
California Roach,35,1
California Roach,60,3
California Roach,33,1
California Roach,56,2
California Roach,75,5
California Roach,63,4
California Roach,56,3
California Roach,40,1
California Roach,35,1
California Roach,35,1
California Roach,68,5
California Roach,60,4
California Roach,25,1
California Roach,32,1
California Roach,30,1
California Roach,43,1
California Roach,28,1
California Roach,30,1
California Roach,63,4
California Roach,56,3
California Roach,56,3
California Roach,57,3
California Roach,43,1
California Roach,36,1
California Roach,38,1
California Roach,66,4
California Roach,42,1
California Roach,35,1
California Roach,41,1
California Roach,80,8
California Roach,55,3
California Roach,40,1
California Roach,43,1
California Roach,31,1
California Roach,52,2
California Roach,68,5
California Roach,56,4
California Roach,32,1
California Roach,75,6
California Roach,27,1
California Roach,44,1
California Roach,56,3
California Roach,27,1
California Roach,34,1
California Roach,44,1
California Roach,41,1
California Roach,56,2
California Roach,33,5
California Roach,55,2
California Roach,31,1
California Roach,35,1
California Roach,72,4
California Roach,45,1
California Roach,68,5
California Roach,35,1
California Roach,31,1
California Roach,33,1
California Roach,45,1
California Roach,32,1
California Roach,74,5
California Roach,24,1
California Roach,65,3
California Roach,77,6
California Roach,66,3
California Roach,53,2
California Roach,47,1
California Roach,46,1
